run_type,br,N,hot,mode,correctness,throughput,width,latency,total_updates,num_no_ops,num_mutations,extractor_llm_time_sec,reasoner_llm_time_sec,total_time_sec,mutation_ratio,noop_ratio,llm_time_sec,non_llm_time_sec,llm_fraction,extractor_fraction,reasoner_fraction
real,8,50,0.8,dag,1.0,0.7876920668454879,2.6315789473684212,0.2771817520260811,50,4,46,61.19281169772148,13.859087601304054,63.476581908762455,0.92,0.08,75.05189929902554,-11.57531739026308,1.182355713590577,0.9640218464452995,0.2183338671452773
real,8,50,0.8,batch,1.0,0.8100143763838784,7.0,0.13153173357248307,50,4,46,61.01315866596997,6.576586678624153,61.72729948721826,0.92,0.08,67.58974534459412,-5.86244585737586,1.0949733085049311,0.9884307133605259,0.10654259514440531
real,8,50,0.8,sequential,1.0,0.7579067659448585,1.0,0.6842310816049576,50,4,46,61.82368766143918,34.21155408024788,65.97117514535785,0.92,0.08,96.03524174168706,-30.064066596329212,1.4557151897034946,0.9371318234853285,0.518583366218166
real,8,50,0.95,dag,1.0,0.8245136082688898,2.7777777777777777,0.2642913101986051,50,5,45,59.569351110607386,13.214565509930253,60.64181294105947,0.9,0.1,72.78391662053764,-12.142103679478168,1.2002265943348303,0.9823148125288659,0.2179117818059643
real,8,50,0.95,batch,0.9375,0.8317484016986836,7.0,0.13903970781713723,50,3,47,59.342268412932754,6.951985390856862,60.11433252878487,0.94,0.06,66.29425380378962,-6.1799212750047445,1.1028027928621777,0.9871567381126218,0.11564605474955586
real,8,50,0.95,sequential,1.0,0.7776908680162443,1.0,0.6761752420663834,50,5,45,60.08067205734551,33.80876210331917,64.29289844632149,0.9,0.1,93.88943416066468,-29.59653571434319,1.4603391109992265,0.9344838000655268,0.5258553109336997
real,8,50,0.1,dag,1.0,0.6992429887162553,4.545454545454546,0.18021788515150547,50,0,50,70.70385397039354,9.010894257575274,71.50590110570192,1.0,0.0,79.71474822796881,-8.208847122266889,1.1147995759137745,0.9887834832803131,0.12601609263346153
real,8,50,0.1,batch,1.0,0.7000588571225183,7.0,0.13622631277889014,50,0,50,70.62127136997879,6.811315638944507,71.4225661046803,1.0,0.0,77.43258700892329,-6.010020904242992,1.0841473673101358,0.9887809304761314,0.09536643683400453
real,8,50,0.1,sequential,1.0,0.6599093876882394,1.0,0.7098135486245155,50,0,50,71.32113494724035,35.49067743122578,75.76797804795206,1.0,0.0,106.81181237846613,-31.043834330514073,1.4097223540908936,0.9413097298452734,0.46841262424562036
real,8,500,0.8,dag,1.0,0.8068407292190608,4.310344827586207,0.2308030470125377,500,109,391,607.7172382120043,115.40152350626886,619.7009916491807,0.782,0.218,723.1187617182732,-103.41777006909251,1.1668833380335115,0.9806620392759344,0.1862212987575771
real,8,500,0.8,batch,0.910828025477707,0.8202332664892822,63.0,0.028896709833294152,500,107,393,607.4207874257118,14.448354916647077,609.5826887637377,0.786,0.214,621.8691423423588,-12.286453578621149,1.0201555159047226,0.9964534732073669,0.023702042697355825
real,8,500,0.8,sequential,1.0,0.7519375831091102,1.0,0.828258130416274,500,110,390,616.7288065385073,414.12906520813704,664.9488085601479,0.78,0.22,1030.8578717466444,-365.9090631864965,1.5502815532203458,0.9274831364446624,0.6227984167756833
real,8,200,0.8,dag,1.0,0.80276960897728,3.5714285714285716,0.24989120757207275,200,33,167,245.01117637008429,49.97824151441455,249.13748323731124,0.835,0.165,294.98941788449883,-45.85193464718759,1.184042698237873,0.9834376312483798,0.20060506698949315
real,8,200,0.8,batch,0.8936170212765957,0.8138958178247284,26.0,0.04927410243079066,200,30,170,244.39765077270567,9.854820486158133,245.73169639147818,0.85,0.15,254.2524712588638,-8.520774867385626,1.0346751151459561,0.9945711292504683,0.040103985895487804
real,8,200,0.8,sequential,1.0,0.7584922848365181,1.0,0.7692633875459433,200,33,167,248.73811132833362,153.85267750918865,263.6809945181012,0.835,0.165,402.59078883752227,-138.90979431942105,1.5268100363975423,0.9433296919367399,0.5834803444608024
