run_type,N,hot,mode,br,correctness,throughput,width,latency,total_updates,num_no_ops,num_mutations,mutation_ratio,noop_ratio
real,500,0.8,batch,6.0,0.8929140127388535,0.8183783265889858,94.5,0.02889001334272325,500.0,91.5,408.5,0.817,0.183
real,500,0.8,dag,6.0,1.0,0.7986011525551848,4.536124794745485,0.2217248665317893,500.0,109.0,391.0,0.782,0.218
real,500,0.8,sequential,6.0,1.0,0.7238552516636357,1.0,0.8290058899894357,500.0,111.0,389.0,0.778,0.222
real,500,0.95,batch,6.0,0.8231225296442688,0.8366678535627114,94.5,0.028912434035912156,500.0,110.0,390.0,0.78,0.22
real,500,0.95,dag,6.0,1.0,0.8150686649299899,4.200646794150732,0.2319895306751132,500.0,145.0,355.0,0.71,0.29
real,500,0.95,sequential,6.0,1.0,0.7361492493500439,1.0,0.8340647071320564,500.0,147.0,353.0,0.706,0.294
synthetic,50,0.1,batch,6.0,1.0,0.6481516453855264,10.0,0.10359518017619848,50.0,0.0,50.0,1.0,0.0
synthetic,50,0.1,dag,6.0,1.0,0.6465026619618321,6.071428571428571,0.14183828828856349,50.0,0.0,50.0,1.0,0.0
synthetic,50,0.1,sequential,6.0,1.0,0.6005097786164758,1.0,0.751052610129118,50.0,0.0,50.0,1.0,0.0
synthetic,50,0.5,batch,6.0,1.0,0.6736944530183464,10.0,0.10296393347904086,50.0,0.0,50.0,1.0,0.0
synthetic,50,0.5,dag,6.0,1.0,0.6619999358820865,4.423076923076923,0.18901811629533766,50.0,0.0,50.0,1.0,0.0
synthetic,50,0.5,sequential,6.0,1.0,0.6223186457105927,1.0,0.7569299185089767,50.0,0.0,50.0,1.0,0.0
synthetic,50,0.8,batch,6.0,0.8162393162393162,0.6950814325912473,10.0,0.11846120921894908,50.0,8.0,42.0,0.8400000000000001,0.16
synthetic,50,0.8,dag,6.0,1.0,0.6830451757135942,3.0555555555555554,0.2682397970184684,50.0,12.0,38.0,0.76,0.24
synthetic,50,0.8,sequential,6.0,1.0,0.6365748719397929,1.0,0.7367822884954511,50.0,12.0,38.0,0.76,0.24
synthetic,50,0.95,batch,6.0,0.6153846153846154,0.7079742457645437,10.0,0.10630313374102116,50.0,14.0,36.0,0.72,0.28
synthetic,50,0.95,dag,6.0,1.0,0.6960030629273689,2.638888888888889,0.3013972885347903,50.0,19.5,30.5,0.61,0.39
synthetic,50,0.95,sequential,6.0,1.0,0.6551771266203368,1.0,0.7163010701723397,50.0,19.5,30.5,0.61,0.39
synthetic,100,0.1,batch,6.0,1.0,0.6416545176894897,19.5,0.05958090793341399,100.0,1.0,99.0,0.99,0.01
synthetic,100,0.1,dag,6.0,1.0,0.637183023325758,8.333333333333334,0.11542863332666456,100.0,1.0,99.0,0.99,0.01
synthetic,100,0.1,sequential,6.0,1.0,0.5929020957867195,1.0,0.7836095447279513,100.0,1.0,99.0,0.99,0.01
synthetic,100,0.5,batch,6.0,1.0,0.6650468923447169,19.5,0.06759633541107178,100.0,6.0,94.0,0.94,0.06
synthetic,100,0.5,dag,6.0,1.0,0.6531264585664198,5.4411764705882355,0.18924735078588129,100.0,6.0,94.0,0.94,0.06
synthetic,100,0.5,sequential,6.0,1.0,0.6110661039966765,1.0,0.8032921887747944,100.0,6.0,94.0,0.94,0.06
synthetic,100,0.8,batch,6.0,0.8717171717171717,0.686972292517328,19.5,0.0736904351785779,100.0,24.0,76.0,0.76,0.24
synthetic,100,0.8,dag,6.0,1.0,0.6668157554674692,3.239289446185998,0.3197423996869475,100.0,34.0,66.0,0.66,0.34
synthetic,100,0.8,sequential,6.0,1.0,0.6245084880677674,1.0,0.8762988637015223,100.0,34.0,66.0,0.66,0.34
synthetic,100,0.95,batch,6.0,0.6145320197044335,0.6982919635248743,19.5,0.07112012361176312,100.0,43.5,56.5,0.565,0.435
synthetic,100,0.95,dag,6.0,1.0,0.6834916397932881,3.1372549019607847,0.27340270888060336,100.0,50.0,50.0,0.5,0.5
synthetic,100,0.95,sequential,6.0,1.0,0.6461073405609183,1.0,0.7383015808369964,100.0,49.0,51.0,0.51,0.49
synthetic,200,0.1,batch,6.0,0.994413407821229,0.651623085337446,38.5,0.037775299795903265,200.0,7.5,192.5,0.9624999999999999,0.037500000000000006
synthetic,200,0.1,dag,6.0,1.0,0.6465072898212654,11.513157894736842,0.08889363577589393,200.0,8.0,192.0,0.96,0.04
synthetic,200,0.1,sequential,6.0,1.0,0.5977428396957382,1.0,0.7880157386092469,200.0,8.0,192.0,0.96,0.04
synthetic,200,0.5,batch,6.0,0.9742757242757243,0.6751401784871345,38.5,0.03936083416454494,200.0,15.5,184.5,0.9225000000000001,0.0775
synthetic,200,0.5,dag,6.0,1.0,0.6647405781620164,6.389452332657201,0.17352015829179435,200.0,16.0,184.0,0.92,0.08
synthetic,200,0.5,sequential,6.0,1.0,0.6113075532985497,1.0,0.8522173883533106,200.0,16.0,184.0,0.92,0.08
synthetic,200,0.8,batch,6.0,0.8122100122100122,0.695487681705141,38.5,0.04542224002070725,200.0,49.0,151.0,0.755,0.245
synthetic,200,0.8,dag,6.0,1.0,0.6792561670818471,4.083333333333334,0.2731606181431562,200.0,65.0,135.0,0.675,0.325
synthetic,200,0.8,sequential,6.0,1.0,0.625856357038399,1.0,0.9316273082140833,200.0,65.0,135.0,0.675,0.325
synthetic,200,0.95,batch,6.0,0.6263736263736264,0.7067016956141596,38.5,0.04078087128698826,200.0,94.0,106.0,0.53,0.47
synthetic,200,0.95,dag,6.0,1.0,0.692986705888073,3.9458413926499034,0.22081871831323951,200.0,113.0,87.0,0.435,0.565
synthetic,200,0.95,sequential,6.0,1.0,0.6510314459773395,1.0,0.7287293473165481,200.0,108.0,92.0,0.46,0.54
synthetic,500,0.1,batch,6.0,0.9823293994297331,0.6456794396833543,94.5,0.024148152869194743,500.0,37.0,463.0,0.926,0.074
synthetic,500,0.1,dag,6.0,1.0,0.640695299910737,15.83820662768031,0.08032846806384622,500.0,42.0,458.0,0.916,0.084
synthetic,500,0.1,sequential,6.0,1.0,0.56934569927571,1.0,0.9032184218522161,500.0,42.0,458.0,0.916,0.084
synthetic,500,0.5,batch,6.0,0.920004915212583,0.6685744976286114,94.5,0.030291785694658756,500.0,68.0,432.0,0.864,0.136
synthetic,500,0.5,dag,6.0,1.0,0.6567957479985383,6.671410780999822,0.18334302341751754,500.0,85.5,414.5,0.829,0.17099999999999999
synthetic,500,0.5,sequential,6.0,1.0,0.5959996918068919,1.0,0.9160714234113694,500.0,85.5,414.5,0.829,0.17099999999999999
synthetic,500,0.8,batch,6.0,0.8287373004354137,0.6869311144367222,94.5,0.03729849223047495,500.0,150.0,350.0,0.7,0.30000000000000004
synthetic,500,0.8,dag,6.0,1.0,0.6708258641701925,4.5823568798125205,0.26496554956212637,500.0,205.0,295.0,0.59,0.41
synthetic,500,0.8,sequential,6.0,1.0,0.6073440857962746,1.0,1.0136711857914924,500.0,204.0,296.0,0.592,0.40800000000000003
synthetic,500,0.95,batch,6.0,0.7601126472094214,0.7026295240025549,94.5,0.028532164139673112,500.0,240.5,259.5,0.519,0.481
synthetic,500,0.95,dag,6.0,1.0,0.6803310718148419,4.0693442731423275,0.25566397842019795,500.0,309.5,190.5,0.381,0.619
synthetic,500,0.95,sequential,6.0,1.0,0.626423831181257,1.0,0.83479450959526,500.0,304.5,195.5,0.391,0.609
