run_type,br,N,hot,mode,correctness,throughput,width,latency,total_updates,num_no_ops,num_mutations,mutation_ratio,noop_ratio
real,4,500,0.1,batch,0.9514824797843666,0.7208709953918864,126.0,0.021340956147760153,500,22,478,0.956,0.044
real,4,500,0.1,sequential,1.0,0.6105016710334153,1.0,0.7757993240840733,500,35,465,0.93,0.07
real,4,100,0.5,dag,1.0,0.7373129963991624,5.882352941176471,0.13815808357670903,100,5,95,0.95,0.05
real,4,100,0.5,batch,0.9090909090909091,0.750284849564226,26.0,0.04013883663341403,100,3,97,0.97,0.03
real,4,100,0.5,sequential,1.0,0.6616852607477569,1.0,0.7005750420503318,100,4,96,0.96,0.04
real,4,500,0.5,dag,1.0,0.7449810093655878,6.944444444444445,0.1496946796029806,500,62,438,0.876,0.124
real,4,500,0.5,batch,0.8825503355704698,0.7653018560078297,126.0,0.025542789705097674,500,57,443,0.886,0.114
real,4,500,0.5,sequential,1.0,0.6575772773080207,1.0,0.7833571499809623,500,61,439,0.878,0.122
real,4,100,0.95,dag,1.0,0.813070556029561,3.7037037037037037,0.22545173497870563,100,25,75,0.75,0.25
real,4,100,0.95,batch,0.8695652173913043,0.8327186646186059,26.0,0.04415674138814211,100,24,76,0.76,0.24
real,4,100,0.95,sequential,1.0,0.7255770089400145,1.0,0.7086703241989016,100,25,75,0.75,0.25
real,4,100,0.1,dag,1.0,0.6870638302046371,10.0,0.08901974236592651,100,2,98,0.98,0.02
real,4,100,0.1,batch,1.0,0.7071265043306245,26.0,0.04252279557287693,100,2,98,0.98,0.02
real,4,100,0.1,sequential,1.0,0.5234970314901731,1.0,0.7614629226177931,100,2,98,0.98,0.02
real,4,50,0.8,dag,1.0,0.7758064481222167,3.125,0.24796407584100963,50,4,46,0.92,0.08
real,4,50,0.8,batch,0.9444444444444444,0.8084978828799585,13.0,0.06965096469968557,50,4,46,0.92,0.08
real,4,50,0.8,sequential,1.0,0.7210850106427877,1.0,0.6837133289501071,50,4,46,0.92,0.08
real,4,50,0.95,dag,1.0,0.8076079098092018,3.125,0.24051378708332777,50,5,45,0.9,0.1
real,4,50,0.95,batch,0.8787878787878788,0.8257835932649238,13.0,0.06743746906518937,50,3,47,0.94,0.06
real,4,50,0.95,sequential,1.0,0.738104320394397,1.0,0.6733309414237738,50,5,45,0.9,0.1
real,4,50,0.1,dag,1.0,0.6938674990357027,7.142857142857143,0.11741688210517168,50,0,50,1.0,0.0
real,4,50,0.1,batch,1.0,0.6989387305732766,13.0,0.07579109154641628,50,0,50,1.0,0.0
real,4,50,0.1,sequential,1.0,0.4492461351356885,1.0,0.7553687759116292,50,0,50,1.0,0.0
real,4,500,0.8,dag,1.0,0.7903615758913088,4.761904761904762,0.2126466860510409,500,109,391,0.782,0.218
real,4,500,0.8,batch,0.875,0.8165233866886894,126.0,0.028883316852152348,500,76,424,0.848,0.152
real,4,500,0.8,sequential,1.0,0.6957729202181613,1.0,0.8297536495625972,500,112,388,0.776,0.224
real,4,200,0.8,dag,1.0,0.7741336709001327,3.8461538461538463,0.23720467168837786,200,32,168,0.84,0.16
real,4,200,0.8,batch,0.8936170212765957,0.8079985251418039,51.0,0.02978308266028762,200,27,173,0.865,0.135
real,4,200,0.8,sequential,1.0,0.6954850211739939,1.0,0.7686538330558688,200,33,167,0.835,0.165
real,4,50,0.5,dag,1.0,0.7286037689843549,4.166666666666667,0.1766949624195695,50,1,49,0.98,0.02
real,4,50,0.5,batch,0.92,0.75101865394836,13.0,0.06766791347414255,50,0,50,1.0,0.0
real,4,50,0.5,sequential,1.0,0.6775442246450276,1.0,0.6601915489882231,50,1,49,0.98,0.02
real,4,200,0.1,dag,1.0,0.7027642270662907,13.333333333333334,0.0789805761538446,200,8,192,0.96,0.04
real,4,200,0.1,batch,0.9880239520958084,0.7108940235813409,51.0,0.024498717030510306,200,6,194,0.97,0.03
real,4,200,0.1,sequential,1.0,0.6287739127050523,1.0,0.7342097383365035,200,8,192,0.96,0.04
real,4,200,0.5,dag,1.0,0.7463809891595093,7.142857142857143,0.12961905747652053,200,8,192,0.96,0.04
real,4,200,0.5,batch,0.9342105263157895,0.7585804869830735,51.0,0.024159812312573196,200,7,193,0.965,0.035
real,4,200,0.5,sequential,1.0,0.6657255350182679,1.0,0.7270097927283495,200,8,192,0.96,0.04
real,4,100,0.8,dag,1.0,0.7820455103410566,3.4482758620689653,0.23971922485157848,100,14,86,0.86,0.14
real,4,100,0.8,batch,0.8983050847457628,0.8034604049847003,26.0,0.04710313744843006,100,9,91,0.91,0.09
real,4,100,0.8,sequential,1.0,0.7041232610568148,1.0,0.7328335509821773,100,14,86,0.86,0.14
real,4,200,0.95,dag,1.0,0.7984163375449022,3.6363636363636362,0.24370118373073638,200,54,146,0.73,0.27
real,4,200,0.95,batch,0.8909090909090909,0.841522768454761,51.0,0.028721874793991447,200,38,162,0.81,0.19
real,4,200,0.95,sequential,1.0,0.7193010565133582,1.0,0.7564130072854459,200,54,146,0.73,0.27
real,4,500,0.95,dag,1.0,0.8049230526301853,4.464285714285714,0.21905579978227616,500,145,355,0.71,0.29
real,4,500,0.95,batch,0.782608695652174,0.8344911210370861,126.0,0.028998950704932212,500,107,393,0.786,0.214
real,4,500,0.95,sequential,1.0,0.7066252533245986,1.0,0.834438491769135,500,147,353,0.706,0.294
synthetic,8,500,0.1,dag,1.0,0.6414687212079109,13.157894736842104,0.09120080439001321,500,42,458,0.916,0.084
synthetic,8,500,0.1,batch,0.9898477157360406,0.6457406650122958,63.0,0.024936228726059197,500,38,462,0.924,0.076
synthetic,8,500,0.1,sequential,1.0,0.5919953938567648,1.0,0.9047065843939781,500,42,458,0.916,0.084
synthetic,8,100,0.5,dag,1.0,0.6549845467550305,5.0,0.20427999492734672,100,6,94,0.94,0.06
synthetic,8,100,0.5,batch,1.0,0.6620160981275649,13.0,0.08632743809372187,100,6,94,0.94,0.06
synthetic,8,100,0.5,sequential,1.0,0.6270027094505841,1.0,0.8097537775710225,100,6,94,0.94,0.06
synthetic,8,500,0.5,dag,1.0,0.6598350196449829,6.4935064935064934,0.1882983948364854,500,85,415,0.83,0.17
synthetic,8,500,0.5,batch,0.9230769230769231,0.6695981246018682,63.0,0.030023749455809594,500,71,429,0.858,0.142
synthetic,8,500,0.5,sequential,1.0,0.6167288480388149,1.0,0.9137357554137707,500,85,415,0.83,0.17
synthetic,8,100,0.95,dag,1.0,0.6921807374899818,2.9411764705882355,0.2926737153157592,100,50,50,0.5,0.5
synthetic,8,100,0.95,batch,0.6428571428571429,0.6934824257668897,13.0,0.09261478450149298,100,47,53,0.53,0.47
synthetic,8,100,0.95,sequential,1.0,0.661820439049323,1.0,0.7438535900227725,100,49,51,0.51,0.49
synthetic,8,100,0.1,dag,1.0,0.6360305940473072,6.666666666666667,0.1384103070385754,100,1,99,0.99,0.01
synthetic,8,100,0.1,batch,1.0,0.639932354982245,13.0,0.07786498056724668,100,1,99,0.99,0.01
synthetic,8,100,0.1,sequential,1.0,0.6088330066136809,1.0,0.7848047775775194,100,1,99,0.99,0.01
synthetic,8,50,0.8,dag,1.0,0.691232937688911,2.7777777777777777,0.29230982199311256,50,12,38,0.76,0.24
synthetic,8,50,0.8,batch,0.8888888888888888,0.6978565139727441,7.0,0.1565556564927101,50,10,40,0.8,0.2
synthetic,8,50,0.8,sequential,1.0,0.6508103792620249,1.0,0.7376441959291696,50,12,38,0.76,0.24
synthetic,8,50,0.95,dag,1.0,0.7047403947034251,2.5,0.3132527204602957,50,20,30,0.6,0.4
synthetic,8,50,0.95,batch,0.6153846153846154,0.7100929824203827,7.0,0.13661257416009903,50,14,36,0.72,0.28
synthetic,8,50,0.95,sequential,1.0,0.6686288886129054,1.0,0.7261900122463704,50,20,30,0.6,0.4
synthetic,8,50,0.1,dag,1.0,0.6456109259221212,5.0,0.16544955629855396,50,0,50,1.0,0.0
synthetic,8,50,0.1,batch,1.0,0.6483075679207319,7.0,0.1362686299905181,50,0,50,1.0,0.0
synthetic,8,50,0.1,sequential,1.0,0.6131471692982208,1.0,0.7526672187075019,50,0,50,1.0,0.0
synthetic,8,500,0.8,dag,1.0,0.6763298970814737,4.310344827586207,0.27904904557392,500,205,295,0.59,0.41
synthetic,8,500,0.8,batch,0.8461538461538461,0.6881476433220708,63.0,0.037133302710950375,500,164,336,0.672,0.328
synthetic,8,500,0.8,sequential,1.0,0.6317171539523944,1.0,1.011493555136025,500,205,295,0.59,0.41
synthetic,8,200,0.8,dag,1.0,0.6915095617013278,4.0,0.2794121868815273,200,65,135,0.675,0.325
synthetic,8,200,0.8,batch,0.8222222222222222,0.6975291063236605,26.0,0.05662316096946597,200,53,147,0.735,0.265
synthetic,8,200,0.8,sequential,1.0,0.6553440182217453,1.0,0.9312707675620914,200,65,135,0.675,0.325
synthetic,8,50,0.5,dag,1.0,0.6718200984923882,3.8461538461538463,0.21269870236515998,50,0,50,1.0,0.0
synthetic,8,50,0.5,batch,1.0,0.6740972069857375,7.0,0.13606413964182137,50,0,50,1.0,0.0
synthetic,8,50,0.5,sequential,1.0,0.6358952610258918,1.0,0.757944349385798,50,0,50,1.0,0.0
synthetic,8,200,0.1,dag,1.0,0.6499119589042666,10.526315789473685,0.09546835660934448,200,8,192,0.96,0.04
synthetic,8,200,0.1,batch,1.0,0.6533780346233947,26.0,0.0489290689304471,200,8,192,0.96,0.04
synthetic,8,200,0.1,sequential,1.0,0.6188468080604538,1.0,0.7873458736669272,200,8,192,0.96,0.04
synthetic,8,200,0.5,dag,1.0,0.6686107333696313,5.882352941176471,0.18703159999102353,200,16,184,0.92,0.08
synthetic,8,200,0.5,batch,0.987012987012987,0.6769441802762437,26.0,0.05013011563569307,200,15,185,0.925,0.075
synthetic,8,200,0.5,sequential,1.0,0.6360872610967766,1.0,0.8514821556862444,200,16,184,0.92,0.08
synthetic,8,100,0.8,dag,1.0,0.672930556203904,3.0303030303030303,0.333856585174799,100,34,66,0.66,0.34
synthetic,8,100,0.8,batch,0.8888888888888888,0.6838957055813397,13.0,0.09605536142364145,100,25,75,0.75,0.25
synthetic,8,100,0.8,sequential,1.0,0.6432040175577178,1.0,0.884846317153424,100,34,66,0.66,0.34
synthetic,8,200,0.95,dag,1.0,0.7007925147995858,3.6363636363636362,0.23273497046902775,200,113,87,0.435,0.565
synthetic,8,200,0.95,batch,0.7142857142857143,0.7085979827482866,26.0,0.05158296112902463,200,104,96,0.48,0.52
synthetic,8,200,0.95,sequential,1.0,0.6728284106043119,1.0,0.7277088267728686,200,108,92,0.46,0.54
synthetic,8,500,0.95,dag,1.0,0.6863792817756041,3.937007874015748,0.2641012167856097,500,310,190,0.38,0.62
synthetic,8,500,0.95,batch,0.7741935483870968,0.7035745317673098,63.0,0.028469644997268916,500,274,226,0.452,0.548
synthetic,8,500,0.95,sequential,1.0,0.6506055814545202,1.0,0.8308263673819601,500,309,191,0.382,0.618
synthetic,4,500,0.1,dag,1.0,0.6399218786135632,18.51851851851852,0.06945613173767924,500,42,458,0.916,0.084
synthetic,4,500,0.1,batch,0.9748110831234257,0.6456182143544128,126.0,0.023360077012330293,500,36,464,0.928,0.072
synthetic,4,500,0.1,sequential,1.0,0.5466960046946553,1.0,0.9017302593104541,500,42,458,0.916,0.084
synthetic,4,100,0.5,dag,1.0,0.6512683703778093,5.882352941176471,0.17421470664441585,100,6,94,0.94,0.06
synthetic,4,100,0.5,batch,1.0,0.6680776865618689,26.0,0.048865232728421686,100,6,94,0.94,0.06
synthetic,4,100,0.5,sequential,1.0,0.5951294985427688,1.0,0.7968305999785662,100,6,94,0.94,0.06
synthetic,4,500,0.5,dag,1.0,0.6537564763520938,6.8493150684931505,0.1783876519985497,500,86,414,0.828,0.172
synthetic,4,500,0.5,batch,0.9169329073482428,0.6675508706553547,126.0,0.030559821933507918,500,65,435,0.87,0.13
synthetic,4,500,0.5,sequential,1.0,0.5752705355749689,1.0,0.9184070914089679,500,86,414,0.828,0.172
synthetic,4,100,0.95,dag,1.0,0.6748025420965944,3.3333333333333335,0.25413170244544747,100,50,50,0.5,0.5
synthetic,4,100,0.95,batch,0.5862068965517241,0.7031015012828589,26.0,0.04962546272203326,100,40,60,0.6,0.4
synthetic,4,100,0.95,sequential,1.0,0.6303942420725136,1.0,0.7327495716512203,100,49,51,0.51,0.49
synthetic,4,100,0.1,dag,1.0,0.6383354526042088,10.0,0.09244695961475373,100,1,99,0.99,0.01
synthetic,4,100,0.1,batch,1.0,0.6433766803967343,26.0,0.04129683529958129,100,1,99,0.99,0.01
synthetic,4,100,0.1,sequential,1.0,0.576971184959758,1.0,0.7824143118783832,100,1,99,0.99,0.01
synthetic,4,50,0.8,dag,1.0,0.6748574137382773,3.3333333333333335,0.2441697720438242,50,12,38,0.76,0.24
synthetic,4,50,0.8,batch,0.7435897435897436,0.6923063512097505,13.0,0.08036676194518805,50,6,44,0.88,0.12
synthetic,4,50,0.8,sequential,1.0,0.6223393646175609,1.0,0.7359203810617327,50,12,38,0.76,0.24
synthetic,4,50,0.95,dag,1.0,0.6872657311513127,2.7777777777777777,0.2895418566092849,50,19,31,0.62,0.38
synthetic,4,50,0.95,batch,0.6153846153846154,0.7058555091087046,13.0,0.07599369332194328,50,14,36,0.72,0.28
synthetic,4,50,0.95,sequential,1.0,0.6417253646277681,1.0,0.706412128098309,50,19,31,0.62,0.38
synthetic,4,50,0.1,dag,1.0,0.6473943980015431,7.142857142857143,0.11822702027857304,50,0,50,1.0,0.0
synthetic,4,50,0.1,batch,1.0,0.6479957228503209,13.0,0.07092173036187888,50,0,50,1.0,0.0
synthetic,4,50,0.1,sequential,1.0,0.5878723879347308,1.0,0.749438001550734,50,0,50,1.0,0.0
synthetic,4,500,0.8,dag,1.0,0.6653218312589114,4.854368932038835,0.2508820535503328,500,205,295,0.59,0.41
synthetic,4,500,0.8,batch,0.8113207547169812,0.6857145855513735,126.0,0.037463681749999526,500,136,364,0.728,0.272
synthetic,4,500,0.8,sequential,1.0,0.582971017640155,1.0,1.01584881644696,500,203,297,0.594,0.406
synthetic,4,200,0.8,dag,1.0,0.6670027724623663,4.166666666666667,0.26690904940478505,200,65,135,0.675,0.325
synthetic,4,200,0.8,batch,0.8021978021978022,0.6934462570866216,51.0,0.03422131907194853,200,45,155,0.775,0.225
synthetic,4,200,0.8,sequential,1.0,0.5963686958550527,1.0,0.9319838488660753,200,65,135,0.675,0.325
synthetic,4,50,0.5,dag,1.0,0.6521797732717847,5.0,0.16533753022551537,50,0,50,1.0,0.0
synthetic,4,50,0.5,batch,1.0,0.6732916990509554,13.0,0.06986372731626034,50,0,50,1.0,0.0
synthetic,4,50,0.5,sequential,1.0,0.6087420303952937,1.0,0.7559154876321554,50,0,50,1.0,0.0
synthetic,4,200,0.1,dag,1.0,0.6431026207382643,12.5,0.08231891494244337,200,8,192,0.96,0.04
synthetic,4,200,0.1,batch,0.9888268156424581,0.6498681360514972,51.0,0.02662153066135943,200,7,193,0.965,0.035
synthetic,4,200,0.1,sequential,1.0,0.5766388713310225,1.0,0.7886856035515666,200,8,192,0.96,0.04
synthetic,4,200,0.5,dag,1.0,0.6608704229544016,6.896551724137931,0.1600087165925652,200,16,184,0.92,0.08
synthetic,4,200,0.5,batch,0.9615384615384616,0.6733361766980253,51.0,0.028591552693396808,200,16,184,0.92,0.08
synthetic,4,200,0.5,sequential,1.0,0.5865278455003227,1.0,0.8529526210203767,200,16,184,0.92,0.08
synthetic,4,100,0.8,dag,1.0,0.6607009547310344,3.4482758620689653,0.30562821419909597,100,34,66,0.66,0.34
synthetic,4,100,0.8,batch,0.8545454545454545,0.6900488794533163,26.0,0.051325508933514355,100,23,77,0.77,0.23
synthetic,4,100,0.8,sequential,1.0,0.6058129585778169,1.0,0.8677514102496207,100,34,66,0.66,0.34
synthetic,4,200,0.95,dag,1.0,0.6851808969765603,4.25531914893617,0.20890246615745128,200,113,87,0.435,0.565
synthetic,4,200,0.95,batch,0.5384615384615384,0.7048054084800328,51.0,0.02997878144495189,200,84,116,0.58,0.42
synthetic,4,200,0.95,sequential,1.0,0.6292344813503672,1.0,0.7297498678602278,200,108,92,0.46,0.54
synthetic,4,500,0.95,dag,1.0,0.6742828618540796,4.201680672268908,0.2472267400547862,500,309,191,0.382,0.618
synthetic,4,500,0.95,batch,0.746031746031746,0.7016845162378,126.0,0.028594683282077312,500,207,293,0.586,0.414
synthetic,4,500,0.95,sequential,1.0,0.6022420809079938,1.0,0.8387626518085599,500,300,200,0.4,0.6
